ID	course_code	SUBJ_DESC	COLL_DESC	DEPT_DESC	Long_Title	COURSE_DESC	Related_To_Data_Science
40	ATY-595	Anthropology	College of Arts and Sciences	Anthropology	Contemporary Issues in Anthropology	A capstone seminar focusing on current issues in anthropology, how they relate to the discipline, and their significance to anthropology's role in today's world.	0
41	BIO-519	Biology	College of Arts and Sciences	Biology	Introduction to Nanotechnology	This course introduces students to the emerging field of nanotechnology and exposes them to current research and topics that are being influenced by nanomaterials including biology, healthcare, and the environment.	0
42	BIO-549	Biology	College of Arts and Sciences	Biology	Current Topics in Biology	Advanced topics courses in the biological sciences. Topics vary with instructor.	0
43	BIO-600	Biology	College of Arts and Sciences	Biology	Introduction to Graduate Studies	Training in research ethics and oral-visual communication. Topics include plagiarism, experimental design, statistical interpretation, conflicts of interest, animal safety, authorship, peer review, and scientific presentations.	1
44	BIO-601	Biology	College of Arts and Sciences	Biology	Seminar in Animal Ecology	Literature of animal ecology including both classical and recent papers. Using student presentations and class discussions, the ontogeny of some overarching ecological themes are explored.	0
45	BIO-605	Biology	College of Arts and Sciences	Biology	Seminar in Ecology	Broad view of ecological literature and in-depth studies of selected aspects of population and community ecology.	0
46	BIO-609	Biology	College of Arts and Sciences	Biology	Seminar in Molecular Cell Biology	Topics in cell and molecular biology will be reviewed through discussion of research journal articles. Emphasis on modern experimental techniques and approaches.	0
47	BIO-610	Biology	College of Arts and Sciences	Biology	Seminar in Molecular Genetics	Recent advances in molecular genetics, reinforcing basic concepts underlying these developments and understanding their impact on the life sciences.	0
48	BIO-611	Biology	College of Arts and Sciences	Biology	Advanced Topics in Animal Ecology	Directed readings in the literature of physiological ecology, growth and regulation of populations, community structure, energy flow, mineral cycling, and other areas of current research interest.	0
49	BIO-614	Biology	College of Arts and Sciences	Biology	Prenatal Development: Embryology and Teratology	Human embryological development with emphasis on normal and abnormal development. Issues in teratology and birth defects, clinical problems associated with birth defects and their means of prevention.	0
50	BIO-615	Biology	College of Arts and Sciences	Biology	Advanced Topics in Animal Physiology	Study of physiological mechanisms; selected problems from current literature.	0
51	BIO-617	Biology	College of Arts and Sciences	Biology	Advanced Topics in Genetics	Basic mechanisms of gene action in microbes, animals, and plants.	0
52	BIO-618	Biology	College of Arts and Sciences	Biology	Computational Biology	The class will introduce concepts and methods to analyze biological data including DNA sequence data, genome assembly and annotation, DNA sequence comparison, phylogeny construction and protein structure analyses.	0
53	BIO-620	Biology	College of Arts and Sciences	Biology	Ecosystem Ecology and Biogeochemistry	Introduction to ecosystem function, structure, and dynamics; basic ecosystem theories; discussions of key processes governing energy flow and nutrient cycling; comparison of ecosystems; selected original literature.	0
54	BIO-623	Biology	College of Arts and Sciences	Biology	Landscape Ecology Laboratory	Field labs to observe different landscape structures and conduct course projects for comprehending principles of landscape ecology. Students will use computer labs for GIS basics, landscape analyses.	0
55	BIO-624	Biology	College of Arts and Sciences	Biology	Advanced Topics in Microbiology	Critical review of current research covering a wide range of topics including infectious diseases, bacterial physiology, marine microbiology, and immunology. Focus on students' interests or needs.	0
56	BIO-626	Biology	College of Arts and Sciences	Biology	Conservation Biology	Introduction to habitat and species conservation; topics include genetic diversity, demographic patterns of rare species, habitat fragmentation, design and management of nature reserves, ecological restoration.	0
57	BIO-627	Biology	College of Arts and Sciences	Biology	Landscape Ecology	Introduction to patch-corridor-matrix structure of landscapes and their impact on ecological processes. Discussion of landscape indices, spatial heterogeneity, current issues, and general approaches in landscape ecology.	0
58	BIO-628	Biology	College of Arts and Sciences	Biology	Microbial Ecology	Emphasis on current areas of active research with reference to applied problems.	0
59	BIO-629	Biology	College of Arts and Sciences	Biology	Aquatic Ecology	The study of the geology, physics, chemistry, and ecology of lakes, including reservoirs and streams with comparisons to the ocean.	0
60	BIO-630	Biology	College of Arts and Sciences	Biology	Advanced Topics in Plant Ecology	Studies of special terrestrial communities or plant groups.	0
61	BIO-635	Biology	College of Arts and Sciences	Biology	Molecular Toxicology	Molecular mechanisms involved in the toxicant-induced adverse health effects and discussion of molecular pathways altered in cells in response to environmental xenobiotic exposure.	0
62	BIO-636	Biology	College of Arts and Sciences	Biology	Ecotoxicology	This course is designed to provide an in-depth understanding of the sources and transport of environmental pollutants, and their adverse ecological impacts.	0
63	BIO-637	Biology	College of Arts and Sciences	Biology	Human Evolutionary Genetics	Study of primary literature testing hypotheses about human ancestry and evolution using molecular genetic methods.	0
64	BIO-638	Biology	College of Arts and Sciences	Biology	Aquatic Ecology Laboratory	Practical study of water chemistry methods, lake and stream morphometry, identification of freshwater zooplankton, benthic invertebrates and fish, and field trips to area reservoirs and streams.	0
65	BIO-639	Biology	College of Arts and Sciences	Biology	Biochemistry: Metabolic Regulation in Health and Disease	Chemical properties of major cellular compounds; biosynthesis, degradation, and function of carbohydrates, lipids, proteins, nucleic acids, vitamins, and hormones; energy metabolism; enzymatic catalysis.	0
66	BIO-640	Biology	College of Arts and Sciences	Biology	Biology of Aging	An integrative look at biological theory and mechanisms to explain the diversity of the aging process, including human implications.	0
67	BIO-641	Biology	College of Arts and Sciences	Biology	Stream Ecology	Study of ecology and management of flowing water ecosystems. Topics such as community and ecosystem processes, major paradigms, management of point versus non-point pollutants, and restoration addressed.	0
68	BIO-642	Biology	College of Arts and Sciences	Biology	Genes and Signals	Investigates the regulation of gene expression in bacteria, yeast, and higher eukaryotes, and explores how such regulatory systems have evolved.	0
69	BIO-643	Biology	College of Arts and Sciences	Biology	Biophysics	Introduction to cellular biophysics, with emphasis on the physical properties of membranes, including membrane transport mechanisms and electrical properties of membranes.	0
70	BIO-644	Biology	College of Arts and Sciences	Biology	Entomology	A theoretical and practical overview of the insect orders, selected topics of insect behavior, ecology, and evolution, and an introduction to human-insect interactions. BIO 392 and BIO 441 recommended.	0
71	BIO-645	Biology	College of Arts and Sciences	Biology	Ecoepidemiology of Infectious Diseases	Understanding and managing emerging infectious diseases, primarily zoonotic, using an ecologically-based approach. Students learn theory and skills in the epidemiology and ecology of infectious diseases.	0
72	BIO-646	Biology	College of Arts and Sciences	Biology	Advanced Topics in Neurobiology	Directed readings on fundamental physiological principles of nervous system functioning. Topics may include motor pattern generation, sensory transduction, sensori-motor integration, neurohormonal modulation of behavior.	0
73	BIO-648	Biology	College of Arts and Sciences	Biology	Current Topics in Biology	Advanced topics courses in the biological sciences. Topics vary with instructor.	0
74	BIO-649	Biology	College of Arts and Sciences	Biology	Current Topics: Neurons / Behavior	Advanced topics courses in the Biological Sciences. Topics vary with instructor.	0
75	BIO-651	Biology	College of Arts and Sciences	Biology	Vascular Plant Systematics	Principles, methods, and the history of systematic biology are covered in the context of vascular plant classification and evolution.	0
76	BIO-651	Biology	College of Arts and Sciences	Biology	Vascular Plant Systematics Laboratory	Principles, methods and the history of systematic biology are covered in the context of vascular plant classification and evolution.	0
77	BIO-652	Biology	College of Arts and Sciences	Biology	Metamorphosis	Readings, discussions, and oral presentations of current literature on metamorphosis in animals, mechanisms controlling metamorphosis, evolution of complex life cycles, and adaptations to differing habitats.	0
78	BIO-655	Biology	College of Arts and Sciences	Biology	Vertebrate Reproduction	An advanced treatment of the diversity of vertebrate reproductive biology, with emphasis on structural, regulatory, behavioral, and evolutionary aspects.	0
79	BIO-660	Biology	College of Arts and Sciences	Biology	Symbiosis	Symbiotic interactions of living organisms from an evolutionary perspective. Metabolic, genetic, behavioral, and ecological adaptations which allow symbioses to be formed and maintained will be discussed.	0
80	BIO-673	Biology	College of Arts and Sciences	Biology	Drugs and the Brain	Pharmacology of major neurotransmitter systems in the brain and nervous system. Actions of clinically relevant drugs on these systems will be analyzed along with major drugs of abuse.	0
81	BIO-674	Biology	College of Arts and Sciences	Biology	Workshops in Biotechnology	Individual, intensive four-week workshops focused on specific techniques in biotechnology. Provides hands-on experience designing and implementing a focused project utilizing current methods and bioinformatics.	0
82	BIO-676	Biology	College of Arts and Sciences	Biology	Population Genetics and Molecular Evolution	Application of population genetic and molecular evolutionary theory to the study of natural history, natural selection, genome variation and organization, human evolution, conservation biology, and forensics.	0
83	BIO-678	Biology	College of Arts and Sciences	Biology	Hormones in Action	Hormonal signaling in humans and other animals is examined using developmental, physiological, behavioral, cellular, and molecular perspectives, with special emphasis on the adrenal glands and the gonads.	0
84	BIO-680	Biology	College of Arts and Sciences	Biology	Environmental Physiology	Lectures, discussions, and student presentations on the physiology of animals as it is influenced by and is adapted to environmental conditions.	0
85	BIO-682	Biology	College of Arts and Sciences	Biology	Molecular Biological Approaches in Research	Use of novel molecular approaches to address current questions in the life sciences will be explored by analyzing recent research reports and learning the principles underlying these approaches.	0
86	BIO-685	Biology	College of Arts and Sciences	Biology	Virology	Selected topics in virology. Emphasis upon new trends in the study of animal, plant, and bacterial viruses at both molecular and cellular levels.	0
87	BIO-686	Biology	College of Arts and Sciences	Biology	Cell Cycle and Cancer	Molecular basis of cell division and cancer examined through lectures and discussions of primary literature. Topics include cell cycle control, genomic stability, carcinogenesis, and cancer genetics.	0
88	BIO-687	Biology	College of Arts and Sciences	Biology	Epigenetics	Study of epigenetic mechanisms involved in chromatin structure, DNA and histone modifications, gene expression, dosage compensation, imprinting, heterochromatin structure, stem cell differentiation, development, human disease, and environmental-gene interactions.	0
89	BIO-691	Biology	College of Arts and Sciences	Biology	Genetics of Complex Traits	Theory, experimental methods, and analysis related to the genetic basis for variation in complex traits, including quantitative and threshold traits in animals and plants, and complex human diseases.	0
90	BIO-694	Biology	College of Arts and Sciences	Biology	Advanced Genetics	Selected topics in genetics at an advanced level. Emphasis placed on comparative view of molecular mechanisms underlying animal and plant development.	0
91	BIO-695	Biology	College of Arts and Sciences	Biology	Biological Research	Student engages in advanced biological research under the supervision of a member of the Graduate Faculty.	0
92	BIO-707	Biology	College of Arts and Sciences	Biology	Seminar in Environmental Health Science	Development of critical-thinking and writing skills through discussions and critiques of primary literature in environmental health science and through writing assignments.	0
93	BIO-731	Biology	College of Arts and Sciences	Biology	Environmental Health Science I: Ecosystems to Individuals	Causes of environmental problems that society faces and the effects on ecosystem and community function and species survival. Implications for environmental and human health are explored.	0
94	BIO-732	Biology	College of Arts and Sciences	Biology	Environmental Health Science II: Individuals to Molecules	Introduction to fundamentals of toxicology with a focus on toxicological consequences of environmental perturbations on physiological and cellular processes, genome structure, and gene function.	0
95	BIO-733	Biology	College of Arts and Sciences	Biology	Workshops in Environmental Health Science	Individual six-week workshops focusing on analytical tools and experimental approaches used in freshwater/riparian ecosystem analysis, environmental genomics, environmental forensics, and cellular/physiological research.	0
96	BIO-734	Biology	College of Arts and Sciences	Biology	Current Research in Environmental Health Science	Weekly discussion of research journal articles in the area of environmental health science. Students will present and discuss research journal articles.	0
97	BIO-749	Biology	College of Arts and Sciences	Biology	Research Lab Rotations	Optional course providing credit for participation in laboratory meetings and/or the initiation of preliminary research training in the labs of 1 to 3 potential thesis advisors.	0
98	BIO-790	Biology	College of Arts and Sciences	Biology	Directed Study in Environmental Health Science	Advanced research in environmental health science under the direction of a graduate faculty advisor. Preparation of doctoral research proposal and planning for dissertation research.	0
99	BUS-540	Business Administration	Sch of Business and Economics	Management	Social Entrepreneurship: Justice and a Green Environment	Interdisciplinary engagement of social entrepreneurship as model for change on an issue of environmental sustainability. Exploration of models that respond to social, economic, environmental, and justice issues.	0
100	BUS-606	Business Administration	Sch of Business and Economics	Management	International Entrepreneurship	Issues related to starting, joining, or holding stakes in international ventures, the creation and management of business ventures that have international dimensions, economic and formal/informal institutions affecting entrepreneurship.	0
101	BUS-609	Business Administration	Sch of Business and Economics	Management	Franchising	Develop knowledge and skills needed to succeed as a franchisee, franchisor, or franchise executive, including understanding the Franchise Disclosure Document and the role of entrepreneurship in franchising.	0
102	BUS-614	Business Administration	Sch of Business and Economics	Management	Leadership in the International Environment	Understanding and analyses of leadership and followership in an international context. Application of theoretical frameworks and provision of practical advice for leading across cultural boundaries and addressing international challenges.	0
103	BUS-615	Business Administration	Sch of Business and Economics	Management	Global Business	Principles, practices and processes of conducting businesses in the globalized environment.	0
104	BUS-616	Business Administration	Sch of Business and Economics	Management	International Business Negotiations	This course provides theoretical principles and concepts that aid students in preparing for, performing in, and evaluating international business negotiations.	0
105	BUS-617	Business Administration	Sch of Business and Economics	Management	International Strategy	Examines key frameworks and theories in international strategy and their application to strategy practice and research.	0
106	BUS-618	Business Administration	Sch of Business and Economics	Management	International Collaboration Project I	The course offers an opportunity to learn international collaboration through practice; an experiential exercise where the students complete an international business consulting project working in global virtual teams.	0
107	BUS-619	Business Administration	Sch of Business and Economics	Management	International Collaboration Project II	Offers theoretical training and the opportunity to further develop international collaboration skills through practice by participating in an experiential learning exercise as a coach and manager of global virtual teams.	0
108	BUS-621	Business Administration	Sch of Business and Economics	Management	Research Methods	Familiarize students with inductive and deductive research in international business. Selecting a data gathering method, designing a survey/questionnaire, and sampling methods. Analyzing data and interpreting results to make international business decisions.	1
109	BUS-622	Business Administration	Sch of Business and Economics	Management	Cross-Cultural Management	Examines the effect of cultural differences on management in organizations. Provides students with an understanding of the challenges and opportunities in managing people from diverse cultural backgrounds at the workplace.	0
110	BUS-623	Business Administration	Sch of Business and Economics	Management	International Marketing	Issues in international marketing are addressed from both theoretical and experiential learning perspectives.	0
111	BUS-695	Business Administration	Sch of Business and Economics	Management	Special Topics in International Business	This course focuses on current trends and topics in international business.	0
112	BUS-701	Business Administration	Sch of Business and Economics	Management	Doctoral Research Methods I (Quantitative Research Methods)	Examines multivariate statistical techniques including exploratory factor analysis and principal components analysis, confirmatory factor analysis; moderation and mediation analysis; structural equation modeling and hierarchical linear modeling.	1
113	BUS-702	Business Administration	Sch of Business and Economics	Management	Doctoral Research Methods II (Qualitative Research Methods)	Discussion of the nature of qualitative research in organization studies.  Discuss qualitative methodological approaches, and the design, implementation and publication of qualitative research.	0
114	BUS-703	Business Administration	Sch of Business and Economics	Management	Doctoral Research Methods III (Applied Research Methods in Business)	The application of quantitative and qualitative methods in conducting high quality research in business.	0
115	BUS-705	Business Administration	Sch of Business and Economics	Management	Seminar in Academic Writing and Publishing	Provides an in-depth review and understanding of academic and scholarly writing, explains the process of developing and publishing academic work, with the focus on publishing business research and scholarly work.	0
116	BUS-720	Business Administration	Sch of Business and Economics	Management	Seminar in Organization Theory	Examines the theory and research related to organizations, including theories that cross micro/macro boundaries and represent novel contributions from organizational perspectives; the history and development of research on organizations.	0
117	BUS-721	Business Administration	Sch of Business and Economics	Management	Seminar in Organization Behavior	Classic and current theory in organizational behavior, including the role and effects of individual differences, perception, job design, groups, motivation, job satisfaction, organizational commitment, and other aspect of organizational design.	0
118	BUS-722	Business Administration	Sch of Business and Economics	Management	Seminar in Organizational Leadership	Provides an in-depth review of classic and modern theories and application of leadership and followership models in organizations, including critical examination of leadership in cross-cultural settings.	0
119	BUS-730	Business Administration	Sch of Business and Economics	Management	Seminar in International Business Theory	Comprehensive overview of international business field, including theoretical and empirical approaches to the study of cross-border business, evolution of thought in international business, theory of the MNC, and contemporary perspectives.	0
120	BUS-731	Business Administration	Sch of Business and Economics	Management	Seminar in Cross-Cultural Management	Provides an in-depth review of the theories, concepts, and practices of management across and in different cultures; investigates the impact of national cultures on management practice.	0
121	BUS-740	Business Administration	Sch of Business and Economics	Management	Seminar in Strategic Management I	Theories and concepts in strategic management including the examination of behavioral and economic approaches to strategy research and the relationship of other areas of research to strategy formulation and implementation.	0
122	BUS-741	Business Administration	Sch of Business and Economics	Management	Seminar in Strategic Management II	Examines theory and research on corporate level strategies and corporate governance.	0
123	BUS-789	Business Administration	Sch of Business and Economics	Management	Advanced Topics in Management	This course focuses on current research topics such as corporate social responsibility, human resources management, international business, organizational behavior, strategic management, and sustainability.	0
124	BUS-790	Business Administration	Sch of Business and Economics	Management	Doctoral Research Independent Study	Individual work on research topics that are related to student's primary area(s) of specialization and research interest. Research conducted with faculty guidance and direction.	0
125	CCI-512	Classical Civilization	College of Arts and Sciences	Classical Studies	The Archaeology of Roman Daily Life	Study of Roman daily life and the evidence from archaeology and ancient literature for daily life.	0
126	CED-516	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Entrepreneurship in Clinical Settings	Designed to teach students how to effectively build and implement a successful business model for the design and delivery of clinical practices, or related services.	0
127	CED-574	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Contemporary Topics in Counseling	Designed to study issues, problems, and new approaches in helping relationships. Emphasis placed on current topic(s) of interest.	0
128	CED-574	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Contemporary Topics in Counseling: Stress Managemnt	Topics in Counseling.	0
129	CED-602	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Student Development in Higher Education	Study of development services. Areas such as admissions, orientation, career counseling, academic advising, student activities, housing, and financial aid are reviewed.	0
130	CED-603	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Contemporary College Students	Developmental tasks and processes, including cognitive, moral, emotional, career, and identity, as applied to traditional and nontraditional students and diverse populations.	0
131	CED-605	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Counseling Diverse Populations	Examination of substantive and theoretical issues concerning counseling diverse populations. Includes study of counseling issues relevant to race/ethnicity, gender, sexual orientation, and other diversity topics.	0
132	CED-610	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Helping Relationships	Fundamental principles of providing a helping relationship through counseling and interviewing are integrated in a conceptual framework for subsequent professional studies in counseling. Personal and professional development through skills training in techniques.	0
133	CED-611	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	The Counselor as Scientist-Practitioner	Ways in which counselors can demonstrate accountability in a broad range of settings and from a variety of theoretical perspectives.	0
134	CED-612	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Developmental Counseling	Developmental theories and processes of diverse individuals, families, and groups form the basis for understanding and applying techniques of developmental assessment and intervention. Cognitive-developmental approaches are emphasized.	0
135	CED-620	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Counseling Theories and Practice	Examine various counseling theories, their philosophical underpinnings, techniques, cultural implications, and the relationship between theory and practice. Apply theories through case conceptualization, observations, and supervised practice.	0
136	CED-642	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Substance Abuse Counseling	Counseling intervention strategies related to prevention, substance use, abuse and dependency will be emphasized. Etiology, assessment, and professional counseling concerns discussed.	0
137	CED-644	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Foundations of Mental Health Counseling	Theoretical and applied information for counselors working in clinical mental health counseling settings. Explores delivery systems, procedures, and techniques related to counseling individuals, groups, couples, and families in these settings.	0
138	CED-645	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Mental Health Issues for Genetic Counselors	Overview of mental health-related theories and constructs relevant to genetic counseling. Development of interviewing skills and strategies. Focus on professional self-awareness, with emphasis on demands of professional practice.	0
139	CED-648	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Foundations of School Counseling	The role and functions of school counselors, including their work with students, teachers, administrators, and parents, as well as their complimentary relationships with other student services personnel.	0
140	CED-650	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Group Counseling Theory and Practice	Develop understanding and skills in the theory and practice of group work, the relationship of group activities to counseling, and fundamental group counseling techniques.	0
141	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
142	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Theories	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
143	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Assessment	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
144	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Group	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
145	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Lifespan	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
146	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Couples	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
147	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Adolescents	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
148	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Group Applications	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
149	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Family Counseling	Skill development and application of theory to practice in counseling, assessment and consultation through supervised work with clients in a laboratory setting.	0
150	CED-653	Counseling and Ed Devlp	School of Education	Counsel and Ed Development	Practicum in Counseling: Mid And Later Life	Skill development and application of theory to practice in counseling.	0
