SCBCRSE_SUBJ_CODE	SUBJ_DESC	SCBCRSE_CRSE_NUMB	College	COLL_DESC	Department	DEPT_DESC	Title	Long_Title	Status	Last_Taught	Schedule_Codes	CIP_Code	Course_Prerequisites	Course_Corequisites	COURSE_DESC
AAD	Arts Administration	498	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Intrnshp in Arts Admin and ENT	Internship in Arts Administration and Entrepreneurship	A	202005	INT	501001			Supervised work experience pre-approved that requires regularly scheduled hours in an entrepreneurial arts organization. The course meets online throughout the semester and requires reading, writing, and oral communication assignments. Prerequisite: Permission of Instructor; Note: Same as ENT 498.
AAD	Arts Administration	600X	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Experimental Course	Experimental Course	A		LEC	501001			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ACC	Accounting	0	BE	Sch of Business and Economics	ACF	Accounting and Finance	ACC Elective		A	201901	LEC	520301			
ACC	Accounting	201	BE	Sch of Business and Economics	ACF	Accounting and Finance	Financial Accounting	Financial Accounting	A	202005	LEC	520301	 ISM 110[D-] and (MAT 115[D-] or RCO 115[D-] or MAT 119[D-] or MAT 120[D-] or MAT 150[D-] or MAT 151[D-] or MAT 191[D-] or MAT 292[D-])		Introduction to external financial statements of organizations, emphasizing the use of accounting information in making investment and other decisions. Addresses ethical considerations and role of financial reporting in society. Prerequisite: ISM 110 and any one of the following: MAT 115, MAT 120, MAT 150, MAT 151, MAT 191, MAT 292.
ACC	Accounting	202	BE	Sch of Business and Economics	ACF	Accounting and Finance	Managerial Accounting	Managerial Accounting	A	202005	LEC	520301	 ACC 201[D-] or ACC 218[D-]		Introduction to internal accounting and reporting of organizations, emphasizing the use of accounting information used by management and other decision makers within the organization. Prerequisite: ACC 201 or ACC 218
ACC	Accounting	218	BE	Sch of Business and Economics	ACF	Accounting and Finance	Financl Stmnt Prep/Disclosures	Financial Statement Preparation and Disclosures	A	201901	LEC	520301	 ISM 110[D-] and (MAT 115[D-] or RCO 115[D-] or MAT 119[D-] or MAT 120[D-] or MAT 150[D-] or MAT 151[D-] or MAT 191[D-] or MAT 292[D-])		First financial accounting course for students desiring to pursue upper division accounting courses. Includes coverage of basic financial statement preparation, time value of money concepts, and techniques for accounting valuations. Prerequisite: ISM 110 and any one of the following: MAT 115, MAT 120, MAT 150, MAT 151, MAT 191, MAT 292; Notes: Required entry course for all Accounting and Finance majors.
ACC	Accounting	300X	BE	Sch of Business and Economics	ACF	Accounting and Finance	Experimental Course	Experimental Course	A		LEC	520301			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ACC	Accounting	318	BE	Sch of Business and Economics	ACF	Accounting and Finance	Intermediate Accounting I	Intermediate Accounting I	A	202005	LEC	520301	 (ACC 201[B-] and ACC 202[B-]) and ECO 201[C]		Focuses on the conceptual framework underlying financial reporting by business enterprises, the processes by which authoritative accounting guidelines are promulgated, and the preparation, presentation, interpretation, and use of financial statements. Prerequisite: Grade of B- or better in ACC 201 and ACC 202; Grade of C or better in ECO 201.
ACC	Accounting	319	BE	Sch of Business and Economics	ACF	Accounting and Finance	Intermediate Accounting II	Intermediate Accounting II	A	202005	LEC	520301	 ACC 318[C]		The second course in the two-course intermediate accounting sequence. Continues the examination of the preparation, presentation, interpretation, and use of financial statements. Prerequisite: Grade of C or better in ACC 318
ACC	Accounting	325	BE	Sch of Business and Economics	ACF	Accounting and Finance	Acc Proc Transactn Sys	Accounting Transaction Processing Systems	A	202001	LEC	520301	 ACC 318[C]		Designed to provide an understanding of a variety of accounting subsystems, systems analysis, and design issues reinforced through case studies. Prerequisite: Grade of C or better in ACC 318.
ACC	Accounting	330	BE	Sch of Business and Economics	ACF	Accounting and Finance	Cost Accounting	Cost Accounting	A	202001	LEC	520301	 ACC 318[C] and ACC 202[C]		Costs and cost accounting principles, costing systems, cost determination procedures; control and analytical practices for managerial decision-making. Prerequisite: Grades of C or better in ACC 202 and ACC 318
ACC	Accounting	350	BE	Sch of Business and Economics	ACF	Accounting and Finance	Accounting Internship	Internship in Accounting	A	202005	INT	520301	 ACC 318[C]		This course provides students with an opportunity to apply accounting knowledge in a business environment and to gain a better understanding of the accounting profession. Prerequisite: Grade of C or better in ACC 318; Accounting major; permission of internship coordinator.
ACC	Accounting	400X	BE	Sch of Business and Economics	ACF	Accounting and Finance	Experimental Course	Experimental Course	A		LEC	520301			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ACC	Accounting	420	BE	Sch of Business and Economics	ACF	Accounting and Finance	Federal Tax Concepts	Federal Tax Concepts	A	202001	LEC	520301	 ACC 318[C] or FIN 410[C]		Tax structure and tax principles. Accounting principles and procedures related to tax accounting. Application of tax and accounting principles to specific problems.  Prerequisite: Grade of C or better in ACC 318 or FIN 410.
ACC	Accounting	440	BE	Sch of Business and Economics	ACF	Accounting and Finance	Auditing Concepts	Auditing Concepts	A	202001	LEC	520303	 ACC 319[C] and ACC 325[C]		Concepts underlying audit process, procedures used in external auditing, statistical application, preparation of audit programs, and reports. Use of audit software to conduct control risk assessment and substantive tests. Prerequisite: Grade of C or better in ACC 319 and ACC 325
ACC	Accounting	461	BE	Sch of Business and Economics	ACF	Accounting and Finance	Governmental and Nonprofit ACC	Governmental and Nonprofit Accounting	A	202001	LEC	520301	 ACC 319[C]		This course will introduce students to accounting and financial reporting for nonprofit organizations and governmental entities. Prerequisite: ACC 319
ACC	Accounting	493	BE	Sch of Business and Economics	ACF	Accounting and Finance	Honors Work	Honors Work	A	201708	IND	520301			Prerequisite: 3.30 GPA in the major, 12 s.h. in the major Notes: May be repeated for credit if the topic of study changes.
ACC	Accounting	499	BE	Sch of Business and Economics	ACF	Accounting and Finance	Independent Research in Acc	Independent Research in Accounting	A	201905	IND	520301			Individual study of an issue or problem(s) in accounting of particular interest to the student. Student must arrange time and course requirements with instructor prior to registration. Prerequisite: Accounting major, senior standing, and permission of Department Head; Notes: May be repeated for credit with approval of Department Head.
ACC	Accounting	561	BE	Sch of Business and Economics	ACF	Accounting and Finance	Governmental and Nonprofit ACC	Governmental and Nonprofit Accounting	A	202001	LEC	520301	 ACC 319[C]		This course will introduce students to accounting and financial reporting for nonprofit organizations and governmental entities. Prerequisite: ACC 319.
ACC	Accounting	600X	BE	Sch of Business and Economics	ACF	Accounting and Finance	Experimental Course	Experimental Course	A		LEC	520301			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ACC	Accounting	613	BE	Sch of Business and Economics	ACF	Accounting and Finance	Directed Studies in Accounting	Directed Studies in Accounting 	A	202001	IND	520301	 		Individual study of an issue or problem of interest. Student must arrange topic and course requirements with instructor prior to registration. Prerequisite: 12 hours of graduate level accounting courses or permission of instructor.
ACC	Accounting	621	BE	Sch of Business and Economics	ACF	Accounting and Finance	Accounting Internship	Accounting Internship	A	202005	INT	520301	 		Combined academic and work components allow students to gain experience in the professional field of accounting. Course supervised by a graduate faculty member and appropriate personnel of the approved organization. Prerequisite: Grade of C or better in ACC 318 and permission of instructor; Notes: Grade:  Satisfactory/Unsatisfactory (S/U).
ACC	Accounting	630	BE	Sch of Business and Economics	ACF	Accounting and Finance	Sem Contemporary Acc Issues	Seminar in Contemporary Accounting Issues	A	202001	LEC	520301	 ACC 319[B-] or ACC 319[B-]		Analysis, research, and presentation of current topics and issues relevant to professional accountants. Prerequisite: Grade of B- or better in ACC 319.
ACC	Accounting	631	BE	Sch of Business and Economics	ACF	Accounting and Finance	Advanced Auditing	Advanced Auditing	A	201908	LEC	520303	 ACC 440[B-] or ACC 440[B-]		Ethics, reporting, law, statistics, and audit software; directed towards professional external and internal auditing. Prerequisite: Grade of B- or better in ACC 440.
ACC	Accounting	638	BE	Sch of Business and Economics	ACF	Accounting and Finance	IT Audtng Acntng Data Anlytics	Information Technology Auditing and Accounting Data Analytics	A	201908	LEC	110401	 ACC 440[B-] or ACC 440[B-]		Theory and practice of information technology auditing; computer based systems controls; data analytics models and methods focusing on accounting applications. Prerequisite: Grade of B- or better in ACC 440.
ACC	Accounting	642	BE	Sch of Business and Economics	ACF	Accounting and Finance	Specialized Accnt Entities	Specialized Accounting Entities	A	201908	LEC	520301	 ACC 319[B-] or ACC 319[B-]		Theory and practice associated with business combinations, consolidated financial statements, partnerships, international operations, bankruptcy and other accounting topics related to specialized accounting entities. Prerequisite: Grade of B- or better in ACC 319.
ACC	Accounting	646	BE	Sch of Business and Economics	ACF	Accounting and Finance	Adv Study Bus Envir/Concepts	Advanced Study in Business Environment and Concepts	A	202005	LEC	520301	 ACC 330[C] or ACC 330[C]		An in-depth study and review of the underlying reasons for, and accounting implications of, business transactions. This course is only offered online. Prerequisite: Grade of C or better in ACC 330 and permission of instructor or Program Director.
ACC	Accounting	647	BE	Sch of Business and Economics	ACF	Accounting and Finance	Adv Study Fin Acct and Rptng	Advanced Study in Financial Accounting and Reporting 	A	202001	LEC	520301	 ACC 642[C]		An in-depth study and review of the accounting and reporting represented on the four major financial statements. Prerequisite: ACC 642 and permission of instructor or Program Director; Notes: This course is only offered online.
ACC	Accounting	648	BE	Sch of Business and Economics	ACF	Accounting and Finance	Guided Study Tax and Bus Law	Guided Study in Taxation & Business Law 	A	202005	LEC	520301	 ACC 655[C]		An in-depth study and review of specialized current topics in tax and business law.  This course is only offered online. Prerequisite: ACC 655 and permission of instructor or Program Director; Notes: This course is only offered online.
ACC	Accounting	649	BE	Sch of Business and Economics	ACF	Accounting and Finance	Adv Study Audit and Attest	Advanced Study in Auditing and Attestation 	A	202001	LEC	520301	 ACC 631[C] or ACC 638[C]		This course provides an in-depth study and review of advanced specialized current topics in auditing and attestation. Prerequisite: ACC 631 or ACC 638 and permission of instructor or Program Director; Notes: This course is only offered online.
ACC	Accounting	651	BE	Sch of Business and Economics	ACF	Accounting and Finance	Intro to Bus Entity Tax	Introduction to Business Entity Taxation	A	202001	LEC	521601	 ACC 420[B-] or ACC 420[B-]		The principles of entity taxation associated with corporations, S corporations, and partnerships. Focuses on a life-cycle approach of tax accounting for these tax entities recognized in the U.S., focusing on issues such as formation, operation, and distributions of corporations.  Prerequisite: Grade of B- or better in ACC 420 or permission of instructor.
ACC	Accounting	652	BE	Sch of Business and Economics	ACF	Accounting and Finance	Taxatn Estates Gifts Trusts	Taxation of Estates, Gifts and Trusts 	A	202005	LEC	520301	 ACC 420[B-] or ACC 420[B-]	 	Principles and procedures involved in determining federal estate tax; tax planning using gifts and trusts. Prerequisite: Grade of B- or better in ACC 420.
ACC	Accounting	655	BE	Sch of Business and Economics	ACF	Accounting and Finance	Taxation of Corportns Shrholdr	Taxation of Corporations and Shareholders 	A	201908	LEC	520301	 ACC 651[C]	 	Federal taxation of business transactions affecting corporations and shareholders. Prerequisite: ACC 651 or permission of instructor or Program Director.
ACC	Accounting	656	BE	Sch of Business and Economics	ACF	Accounting and Finance	Taxation of Flow-Thru Bus Enti	Taxation of Flow-Through Business Entities 	A	202001	LEC	520301	 ACC 651[C]		Federal taxation of business transactions affecting flow-through business entities, including partnerships, S corporations, limited liability companies and their owners. Prerequisite: ACC 651 or permission of instructor or Program Director.
ACC	Accounting	688	BE	Sch of Business and Economics	ACF	Accounting and Finance	Advanced Business Law	Advanced Business Law	A	202005	LEC	520301			Explores legal issues in contract and sales law, negotiable instruments, agency, and business associations and at the same time considers ethical and managerial issues involved when these legal issues arise. Prerequisite: MGT 330 or permission of Program Director.
ACC	Accounting	750X	BE	Sch of Business and Economics	ACF	Accounting and Finance	Experimental Course	Experimental Course	A		LEC	520301			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ADS	African Amrcn/African Diaspora	200	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	African-American Art History	African American Art History	A	202001	LEC	50201			The development of African American art placed within the context of mainstream American art and the history of the blacks in this country.
ADS	African Amrcn/African Diaspora	201	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Intro African American Studies	Introduction to African American Studies	A	202005	LEC	50201			Introduction to African American culture through a historical and social perspective. 
ADS	African Amrcn/African Diaspora	210	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Blacks in American Society	Blacks in American Society: Social, Economic, and Political Perspectives	A	202001	LEC	50201			Social, political, economic experience of blacks in the United States. Topics include the black family, Civil Rights Movement, black politicians, and blacks in the labor market.
ADS	African Amrcn/African Diaspora	260	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Understanding Race	Understanding Race	A	202001	LEC	50201			Race is among the most fundamental, yet profoundly misunderstood, aspects of socioculture. This course seeks to provide a comprehensive look at race, especially in its sociopolitical and biocultural dimensions. 
ADS	African Amrcn/African Diaspora	300X	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Experimental Course	Experimental Course	A		LEC	50201			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ADS	African Amrcn/African Diaspora	305	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Special Topics in AFS	Special Topics in African American Studies	A	202001	LEC	50201			An in-depth study of a selected topic or topics in African American Studies involving directed reading and research. Notes: May be repeated for credit when topic varies. 
ADS	African Amrcn/African Diaspora	306	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Spec Tpc in the Afrcn Diaspora	Special Topics in the African Diaspora: Africa, the Indian Ocean, and the Americas	A	202005	SEM	50201			Special topics course explores the histories, cultures, politics, and societies of the African Diaspora across the Indian Ocean and Atlantic worlds. Notes: May be repeated once for credit when topic varies. 
ADS	African Amrcn/African Diaspora	310	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Portrayal Afr Amer in Film	The Portrayal of African Americans in Film	A	201908	LEC	50201			An examination of African American film roles as a reflector of America's perception of black character and behavior. Various film genres will be considered for insight into movie portrayals as social commentary.
ADS	African Amrcn/African Diaspora	315	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Theories / Paradigms in AFS	Theories and Paradigms in African American Studies	A	202001	SEM	50201	 (AFS 201[D-] or ADS 201[D-]) or (AFS 210[D-] or ADS 210[D-])		A concentrated examination of the theories or systematic explanations of the social, cultural, and historical phenomena and/or experiences of African Americans. Prerequisite: ADS 201 or ADS 210, or permission of instructor.
ADS	African Amrcn/African Diaspora	320	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	African American Athlete	The African American Athlete	A	201901	LEC	50201			An examination of the lives and careers of African American athletes and their struggles to gain acceptance in both competitive and social settings. 
ADS	African Amrcn/African Diaspora	325	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Black Women in the U.S.	Black Women in the U.S.	A	202005	SEM	50201			Explores the historical experiences of women of African descent in America through an evaluation of relevant literature, film, and/or music. Prerequisite: ADS 201 and ADS 210 recommended.
ADS	African Amrcn/African Diaspora	330	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Black Music/Cultural History	Black Music as Cultural History: 1960-1980	A	202001	LEC	50201			African-American urban music from the 1960s and 1970s as cultural history and as a reflector of social, political, and economic movements of the era. 
ADS	African Amrcn/African Diaspora	351	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Race/Gender in Black Prfrmnce	Race and Gender in Black Performance	A	201801	SEM	50201			Focus on the history of a relation between race and gender in Black performance as it relates to the enactment of and resistance to neocolonial, patriarchal control and captivity.
ADS	African Amrcn/African Diaspora	356	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Making of the African Diaspora	The Making of the African Diaspora	A	202001	LEC	50201			Explores the making of the African Diaspora in the Atlantic and Indian Ocean worlds through a combination of historical and ethnographic studies.
ADS	African Amrcn/African Diaspora	376	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Africana Literature	Africana Literature	A	202001	LEC	50201			Critical survey of literature written by people of Africa and the Diaspora and their cultures, ideas, and experiences from the eighteenth century to the present. Prerequisite: Sophomore, junior, or senior standing 
ADS	African Amrcn/African Diaspora	400	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Independent Study	Independent Study	A	202001	IND	50201			Intensive independent study on special topics related to the African American experience. Prerequisite: Permission of Director of African American Studies and faculty mentor
ADS	African Amrcn/African Diaspora	400X	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Experimental Course	Experimental Course	A		LEC	50201			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ADS	African Amrcn/African Diaspora	410	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Seminar in AFS	Seminar in African American Studies	A	202001	SEM	50201	 (AFS 201[D-] or ADS 201[D-]) and (AFS 210[D-] or ADS 210[D-]) and (AFS 356[D-] or ADS 356[D-]) and (ENG 374[D-] or ENG 376[D-]) and (HIS 301[D-] or HIS 302[D-] or HIS 389[D-])		Capstone seminar on issues in African American Studies and their significance to American society and the world. Prerequisite: Completion of 12 s.h. of AADS core requirements (ADS 201, ADS 210, ADS 356, ENG 374 or ENG 376, HIS 301 or HIS 302 or HIS 389); junior or senior status; AADS major status.
ADS	African Amrcn/African Diaspora	454	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Indpndnt Blck Pltcs 19th Cntry	Independent Black Politics 19th Century	A		WEB	50201			The origins, rise, and collapse of Black Populism, the independent black political movement between Reconstruction and the consolidation of Jim Crow, in the South.
ADS	African Amrcn/African Diaspora	492	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Internship in AFS	Internship in African American Studies	A	201808	INT	50201	 (AFS 201[D-] or ADS 201[D-]) and (AFS 210[D-] or ADS 210[D-]) and (ENG 374[D-] or ENG 376[D-]) and (HIS 301[D-] or HIS 302[D-] or HIS 389[D-])		Practical experience at sites serving populations of people of African descent. Two semester meetings with program director. Students must complete 8 to 15 hours per week at site. Prerequisite: ADS 201 and ADS 210; ENG 374 or ENG 376; HIS 301 or HIS 302 or HIS 389; AADS major or minor. For AAD minors: ADS 201, ADS 210, and two AAD-related courses; Notes: Interns must show 40 on-site hours each semester for each s.h. of credit sought; may be repeated a maximum of 3 times for course credit, but may not exceed 6 credit hours in total.
ADS	African Amrcn/African Diaspora	600	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Independent Study	Independent Study	A	202001	IND	50201			A supervised research project related to African American Studies at the graduate level.
ADS	African Amrcn/African Diaspora	600X	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Experimental Course	Experimental Course	A		LEC	50201			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
ADS	African Amrcn/African Diaspora	610	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	AfricanAmer Theortcl Persptves	African American Theoretical Perspectives 	A	201808	SEM	50201			Historical and theoretical approaches to analyzing race, gender, and class as related to African Americans.
ADS	African Amrcn/African Diaspora	650	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Tpcs Afrcn Amrcn Gender Stds	Topics in African American Gender Studies 	A	201905	LEC	50201			Constructed gender identity of African Americans and intersections of race, gender, class, and sexuality. Politics of African American gender construction, historical notions of gender performance, and aspects of black sexuality.
ADS	African Amrcn/African Diaspora	652	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Tpcs-Black Performnce Studies	Topics in Black Performance Studies 	A	201801	WEB	50201			Implications of historical displays of Black people in relation to contemporary black performance, particularly as it involves a shift in bodies and terms.
ADS	African Amrcn/African Diaspora	653	AS	College of Arts and Sciences	AAD	African Amer/African Diaspora	Persp on African Amrcn Exprnce	Perspectives on the African American Experience 	A	201701	LEC	50201			Investigates selected individuals, events, and social and cultural movements that have fundamentally shaped the course of African American advancement in mainstream society.
APD	Apparel Product Design	200	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Fund Apparel Product Devlpmt	Fundamentals of Apparel Product Development	A	202005	STU	190901			Introduction to fundamentals of apparel product development. Emphasis on identifying, utilizing and developing technical skills in apparel production. Prerequisite: CARS major.
APD	Apparel Product Design	244	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Visual Com for Tex Prd Indstry	Visual Communication for the Textile Products Industry	A	202001	LEL	190901	 CRS 242[C] or APD 242[C] or TDM 242[C]		Survey of industry methods for communicating design concepts and presenting finished products. Emphasis is on use of media and development of techniques for rendering fabrics and textile product designs. Prerequisite: Minimum grade of C (2.0) in CRS 242
APD	Apparel Product Design	251	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Studio I: Garment Construction	Studio I: Garment Construction	A	201908	STU	190999	 APD 200[C]		An examination and evaluation of ready-to-wear apparel including terminologies, production techniques and price/quality relationships. Prerequisite: Grade of C or better in APD 200.
APD	Apparel Product Design	252	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Studio II:Patternmking/Draping	Studio II: Patternmaking and Draping	A	202001	STU	190902	 (MAT 115[C] or RCO 115[C]) and (CRS 242[C] or APD 242[C] or TDM 242[C]) and (CRS 211[C] or TDM 211[C]) and APD 200[C] and APD 251[C]		Introduction to the apparel design process. Introduction to basic flat pattern, draping, and fitting principles. Theories and methods in designing apparel for various target markets. Prerequisite: Minimum grade of C (2.0) in APD 200, APD 251, CRS 211, CRS 242, and MAT 115.
APD	Apparel Product Design	300X	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Experimental Course	Experimental Course	A		LEC	190901			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
APD	Apparel Product Design	310	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Portfolio Development for APD	Portfolio Development for Apparel Design	A	201908	STU	190999	 APD 244[C] and APD 252[C]		Development of a professional design portfolio that will emphasize investigation of specific apparel markets, target customers, seasons and fabrications, and various illustrative techniques. Prerequisite: Minimum grade of C (2.0) in APD 244 and APD 252
APD	Apparel Product Design	341	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Studio III:Adv Pttrnmkng/Drpng	Studio III: Advanced Patternmaking and Draping	A	201908	STU	190901	 (APD 252[C] or APD 250[C])		Development of apparel designs by flat pattern and draping techniques and original design process.  Prerequisite: Minimum grade of C (2.0) in APD 252.
APD	Apparel Product Design	400X	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Experimental Course	Experimental Course	A		LEC	190901			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
APD	Apparel Product Design	441	BE	Sch of Business and Economics	CRS	Cons, Apparel, and Ret Stds	Computer Aplctns Textile Prods	Computer Applications for Textile Products	A	201801	STU	190901	 (APD 244[C] or TDM 244[C]) and ISM 110[D-]		Utilization of general graphics programs and CAD systems used extensively in the fashion industry to create digital presentation boards, fashion graphics, woven and print textile designs, and technical specification packages. Prerequisite: ISM 110, grade of C (2.0) or better in APD 244 
